CMDLINE C:\Users\REGINA\.virtualenvs\xetra_1234-e2X-xnzd\Scripts\python.exe run.py C:\Users\REGINA\ProyectPyhton\xetra_1234\configs\xetra_report1_config.yml
MEM 2.222656 1752351389.7994
MEM 4.386719 1752351389.9051
MEM 4.386719 1752351390.0146
MEM 4.386719 1752351390.1245
MEM 4.386719 1752351390.2347
MEM 4.386719 1752351390.3448
MEM 4.386719 1752351390.4536
MEM 4.386719 1752351390.5632
MEM 4.386719 1752351390.6709
MEM 4.386719 1752351390.7786
MEM 4.386719 1752351390.8885
MEM 4.386719 1752351390.9963
MEM 4.386719 1752351391.1049
MEM 4.386719 1752351391.2140
MEM 4.386719 1752351391.3241
MEM 4.386719 1752351391.4337
MEM 4.386719 1752351391.5431
MEM 4.386719 1752351391.6513
MEM 4.386719 1752351391.7614
MEM 4.386719 1752351391.8714
MEM 4.386719 1752351391.9809
MEM 4.386719 1752351392.0904
MEM 4.386719 1752351392.2017
MEM 4.386719 1752351392.3112
MEM 4.386719 1752351392.4195
MEM 4.386719 1752351392.5299
MEM 4.386719 1752351392.6410
MEM 4.386719 1752351392.7499
MEM 4.386719 1752351392.8578
MEM 4.386719 1752351392.9660
MEM 4.386719 1752351393.0763
MEM 4.386719 1752351393.1860
MEM 4.386719 1752351393.2946
MEM 4.386719 1752351393.4041
MEM 4.386719 1752351393.5148
MEM 4.386719 1752351393.6250
MEM 4.386719 1752351393.7356
MEM 4.386719 1752351393.8443
MEM 4.386719 1752351393.9510
MEM 4.386719 1752351394.0592
MEM 4.386719 1752351394.1680
MEM 4.386719 1752351394.2768
MEM 4.386719 1752351394.3855
MEM 4.386719 1752351394.4949
MEM 4.386719 1752351394.6038
MEM 4.386719 1752351394.7138
MEM 4.386719 1752351394.8146
MEM 4.386719 1752351394.9258
MEM 4.386719 1752351395.0375
MEM 4.386719 1752351395.1482
MEM 4.386719 1752351395.2568
FUNC xetra.common.s3.read_csv_to_df 135.7031 1752351395.0590 139.0039 1752351395.5070 0
FUNC xetra.common.s3.read_csv_to_df 139.5430 1752351395.5490 139.6328 1752351395.6659 2
FUNC xetra.common.s3.write_df_to_s3 139.4102 1752351395.5424 139.4102 1752351395.5445 2
FUNC xetra.common.s3.write_df_to_s3 139.7109 1752351395.6691 140.0039 1752351395.8129 2
FUNC xetra.transformers.xetra_transformer.extract 139.4102 1752351395.5375 139.4102 1752351395.5403 1
FUNC xetra.transformers.xetra_transformer.transform_report1 139.4102 1752351395.5414 139.4102 1752351395.5424 1
FUNC xetra.transformers.xetra_transformer.load 139.4102 1752351395.5424 140.0039 1752351395.8139 1
FUNC xetra.transformers.xetra_transformer.etl_report1 139.4102 1752351395.5365 140.0039 1752351395.8139 0
MEM 4.386719 1752351395.3669
MEM 4.386719 1752351395.4752
MEM 4.386719 1752351395.5841
MEM 4.386719 1752351395.6929
MEM 4.386719 1752351395.8009
MEM 4.386719 1752351395.9105
MEM 4.386719 1752351396.0190
